Name	Number	Ctf
3.0 Cu. Carton	32054	3
4.5 Cu. Carton	26139	4
1.5 Cu. Carton	19569	1
Corr Mirror Carton	18128	3
Dishpack	15441	9
Wardrobe Carton	11063	9
Book Carton	9259	6
Chair	8272	4
Bookcase - Sections	6270	7
Table	5478	5
Tote - Plastic Packed	4241	4
Bed - Queen	4227	62
Sofa - 3 Cushion	4150	49
Vacuum Cleaner	3784	4
TV-Flat Panel 30 - 59	3722	15
6.0 Cu. Carton	3647	5
Lamp - Floor	3582	4
Table - Night	3321	5
Chest	3197	14
Chair - Arm	3165	9
Dresser - Double	2864	39
Table - End	2798	8
Queen Mattress	2762	0
Dresser - Single	2713	21
Chair - Occasional	2710	14
Rug - 4 x 6	2672	4
Table - End Coffee	2623	5
Refrigerator - 11 cu ft or more	2599	59
Bicycle	2433	8
Suitcase	2423	4
Sofa - Loveseat	2406	34
Dryer	2397	27
Washing Machine	2362	25
Ottoman - Small	2143	4
Bookcase - Bookcase	1963	20
Stool	1940	2
TV - Flat	1879	15
Fan	1848	2
Bed - King	1796	68
TV - Stand	1784	9
Rug - 9 x 12	1773	14
Table - Kitchen	1767	18
Table - Dining	1704	30
Ironing Board	1659	1
Desk - Office	1647	28
Table - Coffee	1647	16
Folding Chairs	1610	1
Nothing Else Going	1608	0
Table - Small	1573	4
Cabinet - Curio Utility	1479	10
BBQ Grill - Large	1462	10
Filing Cabinet - 2-door	1454	10
Queen Mattress/Bag	1404	0
Desk - SM Winthrop	1390	19
Chair - Overstuffed	1370	24
Microwave Oven	1344	4
Bed - Twin	1342	38
Tote-Small	1339	2
Lamp	1337	2
Chair - Dining / Kitchen / Straight	1332	4
Glass Crate	1292	6
Twin Mattress Carton	1277	0
Golf Bag	1260	4
Toolchest - Small	1259	4
Ladder - 6' Step	1247	2
Night Table	1244	9
Dresser - Triple	1220	49
Table - Table	1213	10
Garden Hose & Tools	1202	9
Chair - Childs	1140	2
King Mattress	1133	0
Bed - Double	1104	47
Shelves - Metal	1051	5
Mirror	1042	8
Tote - Large	1010	9
Ladder - Stepstool	979	1
Chair - Rocker	967	11
Table - Large	958	15
Ladder - 8' Step	947	5
Dining - Chair	936	5
Bench - Harvest	928	9
Buffet - Base	878	29
Trunk Footlocker	874	9
Cooler	868	2
Sofa - Sec. Per Section	863	20
Long Twin Mattress	858	0
Ottoman - Large	857	10
Metal Shelves	845	5
Table - Drop Occas	825	12
Dining - Table	820	28
Double Mattress Carton	816	0
Picture	811	7
Ladder - Extension	803	9
Trash Can	784	4
Lawn Mower - Power	774	14
Stool - Bar	769	5
Rack	763	2
Cabinet - Corner China	746	26
Rug - Large or Pad	746	9
Umbrella - Patio	719	5
Cabinet	678	16
Crib	668	10
Guitar in Case	645	2
Power Tool - Hand (each)	643	3
Dolly	642	4
Crib Mattress Carton	630	0
Plant Stand	621	2
Dishwasher	612	19
Twin Mattress Carton/Bag	610	0
Chest - Cedar	609	14
Table - Utility	606	5
Wheelbarrow	604	5
King Mattress/Bag	604	0
Armoire	599	31
Office Chair	598	5
Footstool	596	2
Toy - Plastic Small	589	2
Toolchest - Medium	584	10
Rug - Runner	576	1
Desk - Secretary	576	34
Toolchest - Large	575	33
Hamper	565	3
Refrigerator - Mini	552	17
Filing Cabinet - 4-door	543	29
Misc Crate	542	14
Workbench	529	37
6.5 Cu. Carton	529	6
Computer/Printer	523	4
Chair - Folding	518	1
shelf	518	2
TV - Small	498	5
Safe	495	37
Entertainment Center - Small	482	28
Stand	482	1
Exercise Equipment - Treadmill	479	30
Heater - Gas Electric	473	5
Chair-Metal	470	2
Nothing Going	470	0
Plasma TV	470	7
Table - Extension Leaf	469	6
Table Outdoors	469	3
Double Mattress Carton/Bag	468	0
Stove/Range - 30'	460	14
BBQ Grill - Small	452	2
Shelves - Unit	451	18
TV - Medium	449	22
Dresser	443	24
Long Twin Mattress/Bag	443	0
Chest - Armoire	432	30
Toy - Plastic Large	420	5
Table - Childs	414	4
Dresser Mirror	414	8
Hutch - Top	413	19
Artificial Plant - Small	410	5
Pot - Clay	407	4
Shoe Rack	402	3
Clothes Hamper Basket	400	4
Painting/Picture	398	2
Chaise Lounge	384	21
Exercise Equipment	379	11
PC Desk - Small	379	13
Other Carton	374	4
Stereo - Speaker	366	9
Bed-Headboard	364	10
Weights	360	16
Dining - Leaf	357	2
Sewing Machine - Portable	353	5
Toy - Large	343	10
Toy - Small	337	4
Plastic Bins medium	334	3
TV - Stand Large	333	24
Card Table	330	2
Chair - Office	330	7
Bed-Footboard	329	6
Desk	326	14
Marble Table Tops	326	4
Shelf	324	4
Freezer - 10 or less	321	29
Misc 5 cu	314	5
Desk - Computer	309	14
Sofa Table	302	5
misc	298	15
Chair - Metal / Patio	294	5
Breakfast Table	291	10
Refrigerator - 7 to 10 cu ft	291	20
Sofa - Hide  4 Cushion	290	58
Sewing Machine - w Cabinet	289	19
Bed - Bunk (Set of 2)	288	69
Fire Pit	285	14
Fireplace Equipment	279	4
Piano - Bench	279	4
Entertainment Center - Large	278	51
Power Washer	276	5
Air Compressor	275	12
Tote	275	2
Exercise Equipment - Bike	274	10
Wastepaper Basket	273	1
Cart	273	6
Entertainment Center - Medium	272	39
Tote - Plastic  medium	272	5
Bench	271	6
Bed Frame	266	5
Christmas Tree	266	6
Bed-Frame	264	4
Shop Vac	264	4
Table-Card	259	2
Utility Cabinet	256	16
Stroller	252	4
Jewelry Chest	244	5
Garden Hose or Tools	240	10
Plastic Bins Small	238	2
Air Cond Window - Small	236	14
Breakfast Suite - Chairs	234	5
Wagon	234	4
Desk Chair	229	6
Dining - Hutch	226	19
Bench Vanity	226	3
Artificial Plant - Large	224	10
Piano - Spinet Console	221	58
Trash Can - Small	218	2
Exercise Equipment - Eliptical Large	216	30
Stove/Range - 36'	214	30
CD/DVD Rack	214	5
Table Saw	213	20
Tricycle	212	2
Pot - Clay Large	212	10
Spreader	211	4
Shredder	211	3
Futon	209	20
TV Trays	209	4
Pet Carrier	206	2
Brooms, Etc	206	1
Keyboard	202	5
Wardrobe - Large	201	40
rack	199	3
cooler	195	4
Piano - Baby Grand Upright	191	69
Basket	190	2
Dehumidifier	188	9
Chest of Drawers	185	14
Screen	184	6
Wine rack	183	4
TV - Big Screen 40-60	183	38
Misc 10 cu	182	9
Weight Bench	179	7
Baker's Rack	178	20
Lawn Mower - Hand	175	5
Stool - Counter	173	6
Table - Small Outdoor	169	5
BEDRAIL	168	4
Exercise Machine	166	30
Chest - Toy	164	5
Entertainment Center	162	15
Vanity	162	17
Bed - Metal Frame	162	5
Filing Cabinet - 2 drawer vertical	160	8
Sofa - Futon	156	29
Freezer - 11 to 15	156	44
Changing Table	156	14
Compressor	155	6
Table - Large Outdoor	154	10
Bookcase	153	10
Floor Lamp	152	4
Music Instrument	150	5
Sofa - Rattan Wicker	149	19
patio chairs	148	1
Bar - Portable	146	16
Bookshelf	146	4
Leaf Blower	145	4
Easel	144	4
Clock - Grandfather	141	19
Swing	140	9
Bench - Piano	140	4
Speakers	140	2
Lawn Mower - Riding	139	70
Snowblower	139	27
Folding Table	139	4
Vacuum	137	2
Misc	137	5
HEADBOARD	136	5
Pool Table - Slate	134	99
Game Table	134	14
Table Night	134	9
CABINET	132	16
Bucket	132	2
Tote - Medium	131	5
Bed - Headboard	129	9
Instrument in Case	129	2
Bookcase - Small	129	5
LCD TV	126	9
BINS,LARGE	126	5
Tire - w Rim	126	5
hamper	126	4
Power Tool - Stand	126	14
RACK	125	4
Mattress Cover	125	1
Carseat	124	4
BINS,SMALL	124	3
Hutch - Large	124	20
Motorcycle - Cruiser Touring	123	74
Refrigerator	120	39
cabinet	120	13
Glider or Settee	119	18
Statue	117	5
Luggage	117	4
Bar Stool	117	4
Kitchen Table	116	17
Tools	116	4
Night Stand	114	5
Ping Pong Table	114	39
Computer	113	5
Kitchen Chair	112	5
Sofa	112	41
Skis	111	3
Dresser-Single	110	30
tote	110	2
Freezer - 16 or over	110	58
Trampoline	108	14
Trunk	107	8
Dog Crate	106	5
Baby Carriage Stroller	105	3
Chair - Plastic	105	1
Stereo - Console	104	13
High Chair	103	4
Bike Rack	103	6
Exercise Equipment - Eliptical	103	15
Clothes Rack	103	2
Bed Headboard	103	5
Sled	102	2
Saw Horse	102	4
Bed - Daybed	101	30
Keyboard - Large	101	10
Chair Outside	100	2
Coat Rack	99	2
Taxidermy	99	34
Lamp - Floor / Pole	98	4
Desk - Chair	97	8
Tote -Plastic small	97	2
Air Purifier	96	4
Tire	96	3
Ottoman	94	3
Chair - Kitchen	94	3
DESK CHAIR	93	5
Wood	93	5
TV - 60 & Over	93	59
Table - Card	93	4
Rubbermaid Cabinet	91	9
Table-Outdoor	90	17
Tote - Small	90	2
Wardrobe - Small	89	21
Rug	89	8
Garden Ornaments	89	1
Canopy	87	6
Laundry Basket	86	2
Small Table	85	1
Server	85	15
Snowboard	84	4
Bed - Footboard	82	5
bin, plastic	82	4
Bookcase - Medium	81	9
Rug-Small	81	3
Motorcycle - Dirtbike Sport	80	53
Chair - Straight	80	2
Tent	80	5
Lawn Spreader	80	4
Exercise Equipment - Bench	79	18
Christmas tree	79	9
Power Tool - Large	79	32
Range	78	30
Chair - Dining	78	5
Credenza	78	20
Saw Horses	78	3
stand	78	5
Nothing else in room goes	78	0
Hall Tree Rack - Small	78	2
Bed Frames	78	4
Chiminea	77	8
Filing Cabinet - 4 or 5 drawer vertical	77	19
PC Desk - Large	77	28
Empty Per Client	77	0
Shelving	76	7
Pot - Plastic	76	2
Chair - Aluminum / Plastic	76	1
Fountain	76	8
Generator	75	17
Bookcases-Small	75	2
Air Cond Window - Large	74	19
Scooter	74	8
Storage Tote	74	3
Picnic - Table	73	20
Gate	73	2
3.0'Ctn- Not Going	72	0
Serving Cart	72	9
Plastic Drawers	72	4
Misc.	71	7
Hutch	70	28
Planter	70	6
cart	70	5
Misc 15 cu	70	14
Workbench - Small	70	10
Chairs-folding	69	1
headboard	69	18
Filing Cabinet - 2-drawer  lateral	69	10
Cabinet - Small	68	8
Patio Chair	68	4
Wine Chiller	68	13
Bed Footboard	68	5
Statues	67	12
Hall Tree Rack - Large	66	12
Dresser - Mirror	66	9
Duffel Bag	66	3
bed frame	65	6
Chair - Swivel	65	4
Yard Tools	65	8
Tea Cart	65	9
Rest Not Going	65	0
CHAIRS,FOLDING	64	1
Chair-Folding	64	1
Duffle Bag	64	5
Misc Item	64	23
Big Screen TV	64	9
Ladder	63	5
Drill Press	62	15
4.5 Ctn- Not Going	62	0
Printer	61	3
stroller	61	4
Quilt Rack	61	3
CD Rack	61	2
Dresser-Mirror	60	7
Keyboard Stand	60	6
Picnic - Bench	60	9
Mider Saw	60	7
Cabinet - China	59	32
Umbrella Base	59	10
Cat Hotel	59	3
Whicker Chairs	59	2
Surfboard	58	5
Pressure Washer	58	14
End Table	57	4
Saw	57	9
shoe shelf	57	2
Smoker	57	9
Grinder	57	5
Steamer	57	3
Nesting Tables	57	5
Floor Jack	57	8
Walker	56	1
Desk - Small	56	9
Fan - Large	55	5
range/oven	54	25
Bed - Youth Plastic Toy	54	25
Pictures	54	0
Playpen	53	5
Air Conditioner	53	9
wagon	53	5
PBO - TOTE (SMALL)	53	3
STAND	53	4
COOLER	52	1
easel	52	2
desk chair	52	5
Desk chair	52	5
Umbrella Stand	51	4
Magazine Rack	51	2
Guitar	51	2
Doll House	51	6
Plastic Bins Large	51	3
BIKE	51	3
TV trays	51	2
Hammock	50	7
KAYAK 14' & Under	50	6
PBO Not Moving 3.0	50	0
Chandeliers	49	21
PBO Not Moving. 4.5	49	0
Shoe rack	49	2
Patio Table	49	10
SHOE RACK	49	1
Garden Tools	48	7
Piano - Parlor Grand	48	78
Table-Leaf	48	2
Table - Folding	48	3
Toy Chest	48	6
Chair - High	48	4
Folding Chair	47	1
Rocking Horse	47	4
Table - Sofa	47	9
folding tables	47	4
Steam Cleaner	47	5
