Name	Ctf
3.0 Cu. Carton	3
4.5 Cu. Carton	4
1.5 Cu. Carton	1
Corr Mirror Carton	3
Dishpack	9
Wardrobe Carton	9
Book Carton	6
Chair	4
Bookcase - Sections	7
Table	5
Tote - Plastic Packed	4
Bed - Queen	62
Sofa - 3 Cushion	49
Vacuum Cleaner	4
TV-Flat Panel 30 - 59	15
6.0 Cu. Carton	5
Lamp - Floor	4
Table - Night	5
Chest	14
Chair - Arm	9
Dresser - Double	39
Table - End	8
Queen Mattress	0
Dresser - Single	21
Chair - Occasional	14
Rug - 4 x 6	4
Table - End Coffee	5
Bicycle	8
Suitcase	4
Sofa - Loveseat	34
Dryer	27
Washing Machine	25
Ottoman - Small	4
Bookcase - Bookcase	20
Stool	2
TV - Flat	15
Fan	2
Bed - King	68
TV - Stand	9
Rug - 9 x 12	14
Table - Kitchen	18
Table - Dining	30
Ironing Board	1
Desk - Office	28
Table - Coffee	16
Folding Chairs	1
Nothing Else Going	0
Table - Small	4
Cabinet - Curio Utility	10
BBQ Grill - Large	10
Filing Cabinet - 2-door	10
Queen Mattress/Bag	0
Desk - SM Winthrop	19
Chair - Overstuffed	24
Microwave Oven	4
Bed - Twin	38
Tote-Small	2
Lamp	2
Glass Crate	6
Twin Mattress Carton	0
Golf Bag	4
Toolchest - Small	4
Ladder - 6' Step	2
Night Table	9
Dresser - Triple	49
Table - Table	10
Garden Hose & Tools	9
Chair - Childs	2
King Mattress	0
Bed - Double	47
Shelves - Metal	5
Mirror	8
Tote - Large	9
Ladder - Stepstool	1
Chair - Rocker	11
Table - Large	15
Ladder - 8' Step	5
Dining - Chair	5
Bench - Harvest	9
Buffet - Base	29
Trunk Footlocker	9
Cooler	2
Sofa - Sec. Per Section	20
Long Twin Mattress	0
Ottoman - Large	10
Metal Shelves	5
Table - Drop Occas	12
Dining - Table	28
Double Mattress Carton	0
Picture	7
Ladder - Extension	9
Trash Can	4
Lawn Mower - Power	14
Stool - Bar	5
Rack	2
Cabinet - Corner China	26
Rug - Large or Pad	9
Umbrella - Patio	5
Cabinet	16
Crib	10
Guitar in Case	2
Power Tool - Hand (each)	3
Dolly	4
Crib Mattress Carton	0
Plant Stand	2
Dishwasher	19
Twin Mattress Carton/Bag	0
Chest - Cedar	14
Table - Utility	5
Wheelbarrow	5
King Mattress/Bag	0
Armoire	31
Office Chair	5
Footstool	2
Toy - Plastic Small	2
Toolchest - Medium	10
Rug - Runner	1
Desk - Secretary	34
Toolchest - Large	33
Hamper	3
Refrigerator - Mini	17
Filing Cabinet - 4-door	29
Misc Crate	14
Workbench	37
6.5 Cu. Carton	6
Computer/Printer	4
Chair - Folding	1
shelf	2
TV - Small	5
Safe	37
Entertainment Center - Small	28
Stand	1
Exercise Equipment - Treadmill	30
Heater - Gas Electric	5
Chair-Metal	2
Nothing Going	0
Plasma TV	7
Table - Extension Leaf	6
Table Outdoors	3
Double Mattress Carton/Bag	0
Stove/Range - 30'	14
BBQ Grill - Small	2
Shelves - Unit	18
TV - Medium	22
Dresser	24
Long Twin Mattress/Bag	0
Chest - Armoire	30
Toy - Plastic Large	5
Table - Childs	4
Dresser Mirror	8
Hutch - Top	19
Artificial Plant - Small	5
Pot - Clay	4
Shoe Rack	3
Clothes Hamper Basket	4
Painting/Picture	2
Chaise Lounge	21
Exercise Equipment	11
PC Desk - Small	13
Other Carton	4
Stereo - Speaker	9
Bed-Headboard	10
Weights	16
Dining - Leaf	2
Sewing Machine - Portable	5
Toy - Large	10
Toy - Small	4
Plastic Bins medium	3
TV - Stand Large	24
Card Table	2
Chair - Office	7
Bed-Footboard	6
Desk	14
Marble Table Tops	4
Shelf	4
Freezer - 10 or less	29
Misc 5 cu	5
Desk - Computer	14
Sofa Table	5
misc	15
Chair - Metal / Patio	5
Breakfast Table	10
Refrigerator - 7 to 10 cu ft	20
Sofa - Hide  4 Cushion	58
Sewing Machine - w Cabinet	19
Bed - Bunk (Set of 2)	69
Fire Pit	14
Fireplace Equipment	4
Piano - Bench	4
Entertainment Center - Large	51
Power Washer	5
Air Compressor	12
